
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter.ts: line 172, col 17, Error - Using Chinese characters: '\n💡 这是预览模式，没有实际修改文件' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\add-frontmatter.ts: line 173, col 17, Error - Using Chinese characters: '   运行 `pnpm add-frontmatter` 执行实际操作' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 46, col 14, Error - Using Chinese characters: '🧪 测试' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 47, col 14, Error - Using Chinese characters: '❓ 问题' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 48, col 15, Error - Using Chinese characters: '⚠️ 可能' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 49, col 15, Error - Using Chinese characters: '➡️ 下一步' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 52, col 14, Error - Using Chinese characters: '⭐ 核心' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 53, col 14, Error - Using Chinese characters: '📜 搜索' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 54, col 14, Error - Using Chinese characters: '⚡ 快速' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 55, col 14, Error - Using Chinese characters: '📋 概述' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 56, col 14, Error - Using Chinese characters: '💻 实现' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 57, col 14, Error - Using Chinese characters: '👤 用户' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 58, col 14, Error - Using Chinese characters: '⚙️ 技术' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 59, col 14, Error - Using Chinese characters: '📄 文件' (i18n/no-chinese-character)
