
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 149, col 46, Error - Using Chinese characters: '图片21' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 150, col 46, Error - Using Chinese characters: '图片22' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\modules\news\views\index.vue: line 151, col 46, Error - Using Chinese characters: '图片23' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\router\index.ts: line 10, col 14, Error - Using Chinese characters: '首页' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\router\index.ts: line 18, col 14, Error - Using Chinese characters: '关于我们' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\router\index.ts: line 26, col 14, Error - Using Chinese characters: '新闻动态' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\router\index.ts: line 34, col 14, Error - Using Chinese characters: '服务条款' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\home-app\src\router\index.ts: line 42, col 14, Error - Using Chinese characters: '帮助中心' (i18n/no-chinese-character)


